"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.475290630E-1,-1.454368234E-2,-6.194810867E-1,-6.960654259E-2,6.235490408E-1
8.525447920E-1,2.170321345E-2,-6.488809586E-1,-5.873894691E-2,6.518955374E-1
8.575606770E-1,1.437818110E-1,-6.037044525E-1,-6.285512447E-2,6.237652137E-1
8.625764070E-1,1.341236830E-1,-5.485868454E-1,-5.569028854E-2,5.674840064E-1
8.675922920E-1,7.208585739E-4,-5.500259399E-1,-1.309448481E-1,5.653986271E-1
8.726081250E-1,5.652774125E-2,-5.766735077E-1,-2.550939322E-1,6.331039679E-1
8.776238550E-1,1.477242261E-1,-5.688591003E-1,-3.826482892E-1,7.013150763E-1
8.826397400E-1,5.741485208E-2,-5.315160751E-1,-3.446274996E-1,6.360612524E-1
8.876554690E-1,8.097037673E-3,-5.076427460E-1,-2.895140648E-1,5.844528324E-1
8.926713550E-1,1.211469322E-1,-5.304708481E-1,-2.648826241E-1,6.051765895E-1
8.976871880E-1,1.406818777E-1,-5.163803101E-1,-2.541527450E-1,5.924809137E-1
9.027029170E-1,5.295982212E-2,-5.250711441E-1,-2.883896232E-1,6.013925705E-1
9.077188020E-1,9.220843017E-2,-5.159187317E-1,-3.222678006E-1,6.152487851E-1
9.127345320E-1,1.312228739E-1,-5.318613052E-1,-3.843151629E-1,6.691741441E-1
9.177504170E-1,8.190108836E-2,-5.560703278E-1,-3.481749594E-1,6.611715360E-1
9.227662500E-1,8.064555377E-2,-5.313510895E-1,-2.930856943E-1,6.121575858E-1
9.277819800E-1,1.270491183E-1,-4.912824631E-1,-2.452348471E-1,5.635956593E-1
9.327978650E-1,9.942534566E-2,-5.097551346E-1,-2.929339409E-1,5.962767732E-1
9.378135940E-1,8.168835938E-2,-5.245637894E-1,-3.574371338E-1,6.400011420E-1
9.428294800E-1,1.165103093E-1,-5.285844803E-1,-4.196732044E-1,6.849100696E-1
9.478453130E-1,1.011878699E-1,-5.194797516E-1,-4.057999849E-1,6.669121570E-1
9.528610420E-1,9.326387197E-2,-4.830703735E-1,-3.712631464E-1,6.163533560E-1
9.578769270E-1,1.353655905E-1,-4.290552139E-1,-4.067513943E-1,6.065137397E-1
9.628926570E-1,8.444362134E-2,-4.457759857E-1,-4.839508533E-1,6.633667033E-1
9.679085420E-1,1.052699238E-1,-4.281005859E-1,-5.264155865E-1,6.866332633E-1
9.729243750E-1,1.282751262E-1,-3.976898193E-1,-5.272395611E-1,6.727505148E-1
9.779401050E-1,9.866105020E-2,-3.261489868E-1,-5.012235641E-1,6.060793889E-1
9.829559900E-1,1.171073020E-1,-3.734197617E-1,-5.822687149E-1,7.015648900E-1
9.879717190E-1,1.020206958E-1,-3.507537842E-1,-6.529612541E-1,7.481943858E-1
9.929876050E-1,1.109070629E-1,-3.158187866E-1,-6.469485760E-1,7.284122065E-1
9.980034380E-1,1.032073274E-1,-3.639221191E-1,-6.501090527E-1,7.521521399E-1
1.003019167E0,1.455611438E-1,-3.137025833E-1,-6.243546009E-1,7.137338615E-1
1.008035052E0,9.454982728E-2,-2.564954758E-1,-5.871281624E-1,6.476488848E-1
1.013050782E0,8.667974174E-2,-2.259941101E-1,-6.962075233E-1,7.370831914E-1
1.018066667E0,1.504954547E-1,-1.462707520E-1,-8.276977539E-1,8.538896806E-1
1.023082500E0,1.355379224E-1,-1.226730347E-1,-9.865326881E-1,1.003327437E0
1.028098230E0,1.563419104E-1,-6.418609619E-2,-9.764547348E-1,9.909725006E-1
1.033114115E0,4.564364254E-2,-7.362937927E-2,-9.151601791E-1,9.192512067E-1
1.038129844E0,9.558758140E-2,-1.342554092E-1,-9.246425629E-1,9.392152946E-1
1.043145730E0,2.024561614E-1,-5.761432648E-2,-9.137215614E-1,9.376539872E-1
1.048161563E0,9.850730002E-2,-6.398200989E-3,-8.155555725E-1,8.215080748E-1
1.053177292E0,5.255150795E-2,-4.978275299E-2,-7.927255630E-1,7.960237445E-1
1.058193177E0,1.928296089E-1,-5.873870850E-2,-8.304743767E-1,8.545883127E-1
1.063208907E0,1.892538369E-1,-3.573131561E-2,-8.114261627E-1,8.339701189E-1
1.068224792E0,6.160998344E-2,-2.878093719E-2,-7.860345840E-1,7.889705316E-1
1.073240625E0,1.207134202E-1,-2.843046188E-2,-7.805943489E-1,7.903844372E-1
1.078256355E0,1.891126037E-1,-3.715038300E-3,-7.805838585E-1,8.031740400E-1
1.083272240E0,1.379269361E-1,1.668405533E-2,-7.524123192E-1,7.651316851E-1
1.088287969E0,8.228746057E-2,-5.304861069E-2,-7.366547585E-1,7.431322994E-1
1.093303855E0,1.197695583E-1,-2.428913116E-2,-7.307882309E-1,7.409359941E-1
1.098319584E0,1.690703928E-1,9.484767914E-3,-6.870899200E-1,7.076491481E-1
1.103335469E0,1.632052362E-1,5.047655106E-2,-6.415314674E-1,6.638873813E-1
1.108351302E0,1.216129288E-1,2.946567535E-2,-6.631975174E-1,6.748991610E-1
1.113367032E0,1.635885537E-1,1.812648773E-2,-7.207932472E-1,7.393461231E-1
1.118382917E0,1.411075294E-1,1.408576965E-2,-7.329597473E-1,7.465518970E-1
1.123398750E0,1.091954410E-1,1.971960068E-2,-6.854696274E-1,6.943926246E-1
1.128414480E0,1.271460652E-1,2.784633636E-2,-6.189851761E-1,6.325220854E-1
1.133430365E0,1.474570036E-1,7.460594177E-3,-5.692734718E-1,5.881084204E-1
1.138446094E0,1.248355359E-1,2.318286896E-2,-5.479483604E-1,5.624666765E-1
1.143461980E0,1.454850286E-1,1.972103119E-2,-5.384445190E-1,5.581015255E-1
1.148477709E0,1.462019980E-1,-2.527666092E-2,-6.034960747E-1,6.214671721E-1
1.153493594E0,4.018368721E-1,2.080416679E-1,-5.707869530E-1,7.283899732E-1
1.158509427E0,-1.433869302E-1,5.305542946E-1,-9.929704666E-1,1.134917626E0
1.163525157E0,-9.213328362E-2,-1.435613632E-1,-1.408761978E0,1.419052049E0
1.168541042E0,8.412088156E-1,2.205042839E-1,-1.444325447E0,1.685921234E0
1.173556771E0,5.536505580E-2,5.985622406E-1,-8.955988884E-1,1.078628488E0
1.178572657E0,-6.670011878E-1,2.587609291E-1,-7.682428360E-1,1.049783243E0
1.183588490E0,5.906349421E-1,2.888817787E-1,-1.279041767E0,1.438141217E0
1.188604219E0,8.877852559E-1,1.121937752E0,-1.510862350E0,2.080771977E0
1.193620105E0,-3.532867432E-1,1.209510326E0,-2.260517120E0,2.587984622E0
1.198635834E0,-1.507830471E-1,7.475862503E-1,-3.372811317E0,3.457958489E0
1.203651719E0,8.411433697E-1,1.289468765E0,-3.888834476E0,4.182497513E0
1.208667552E0,-1.503074020E-1,1.278918743E0,-3.303612709E0,3.545713242E0
1.213683282E0,-3.689495325E-1,8.947296143E-1,-2.818514347E0,2.980048316E0
1.218699167E0,3.806066513E-1,7.384095192E-1,-2.410419941E0,2.549555713E0
1.223714896E0,6.234387159E-1,9.284605980E-1,-1.876619339E0,2.184585786E0
