"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.247994494E0,7.103605270E-1,9.312486649E-2,-3.663029075E-1,8.046503210E-1
1.253010588E0,7.806367874E-1,1.061024666E-1,-4.099472165E-1,8.880924769E-1
1.258026734E0,8.524589539E-1,9.854745865E-2,-4.177927375E-1,9.544362949E-1
1.263042828E0,8.926277161E-1,8.764934540E-2,-3.800805211E-1,9.741292777E-1
1.268058974E0,8.702201843E-1,6.619215012E-2,-3.395065069E-1,9.364450001E-1
1.273075067E0,8.284959793E-1,1.059246063E-2,-2.885607481E-1,8.773739757E-1
1.278091213E0,7.532091141E-1,-1.459789276E-2,-2.195731401E-1,7.846970319E-1
1.283107307E0,6.469783783E-1,-5.212688446E-2,-1.245489717E-1,6.609165457E-1
1.288123453E0,5.575618744E-1,-6.860733032E-2,-5.277693272E-4,5.617672900E-1
1.293139546E0,4.801473618E-1,-7.122230530E-2,1.452257931E-1,5.066602775E-1
1.298155692E0,3.933010101E-1,-7.415294647E-2,2.985464334E-1,4.993138462E-1
1.303171786E0,3.661165237E-1,-4.902315140E-2,4.542052448E-1,5.854459691E-1
1.308187932E0,3.650608063E-1,-7.695674896E-3,5.715322495E-1,6.782165789E-1
1.313204026E0,3.972501755E-1,7.135772705E-2,6.530674100E-1,7.677217394E-1
1.318220171E0,4.409694672E-1,1.209716797E-1,6.894392967E-1,8.272936372E-1
1.323236265E0,4.198570251E-1,1.603446007E-1,7.023664117E-1,8.338518386E-1
1.328252411E0,4.081554413E-1,1.705508232E-1,7.132135034E-1,8.392567837E-1
1.333268505E0,3.199071884E-1,1.516051292E-1,7.390062809E-1,8.194235825E-1
1.338284651E0,2.532892227E-1,1.229019165E-1,7.819914222E-1,8.311262815E-1
1.343300744E0,2.082777023E-1,6.552505493E-2,8.683663607E-1,8.953955944E-1
1.348316890E0,1.657562256E-1,-2.744197845E-2,9.649698138E-1,9.794870750E-1
1.353333036E0,1.832742691E-1,-1.194605827E-1,9.953762293E-1,1.019134008E0
1.358349130E0,2.249279022E-1,-2.270326614E-1,9.599018097E-1,1.011705429E0
1.363365224E0,2.861013412E-1,-3.138041496E-1,9.115620255E-1,1.005620380E0
1.368381369E0,3.525457382E-1,-3.747935295E-1,7.815407515E-1,9.357161073E-1
