"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.326059951E0,4.352228642E-1,-3.777136326E0,-2.081672192E0,4.334689940E0
1.331075420E0,4.831565619E-1,-3.628664255E0,-2.003102779E0,4.172896510E0
1.336090837E0,5.063939095E-1,-3.343776941E0,-2.753556252E0,4.361118097E0
1.341106253E0,4.402281940E-1,-3.104387522E0,-3.229082108E0,4.500888135E0
1.346121722E0,5.310738087E-1,-3.193492651E0,-2.265612125E0,3.951383682E0
1.351137139E0,4.489265382E-1,-3.274777889E0,-1.521895885E0,3.638938354E0
1.356152608E0,4.666158259E-1,-3.197431564E0,-1.794599533E0,3.696198915E0
1.361168024E0,5.313633680E-1,-2.973139524E0,-2.330649853E0,3.814948807E0
1.366183441E0,3.492144346E-1,-2.704350710E0,-2.811413765E0,3.916568759E0
1.371198910E0,3.704318106E-1,-2.893677235E0,-1.863748550E0,3.461812578E0
1.376214326E0,5.218188167E-1,-2.863066912E0,-1.807836533E0,3.426035602E0
1.381229743E0,4.480736554E-1,-2.946183920E0,-1.421993256E0,3.301944050E0
1.386245212E0,3.382484019E-1,-2.887357950E0,-1.694748878E0,3.365029224E0
1.391260628E0,3.405055106E-1,-2.877562761E0,-1.419697762E0,3.226740334E0
1.396276097E0,7.001507282E-1,-2.713110447E0,-1.861576080E0,3.364022123E0
1.401291514E0,3.452970982E-1,-2.416002035E0,-2.335467339E0,3.377973299E0
1.406306930E0,1.877544820E-1,-2.296096087E0,-3.060183525E0,3.830408880E0
1.411322399E0,3.575744629E-1,-2.118914127E0,-3.170315742E0,3.829955415E0
1.416337816E0,4.841061831E-1,-1.917152405E0,-2.862730026E0,3.479232005E0
1.421353285E0,3.644684553E-1,-1.973976731E0,-2.209922791E0,2.985494956E0
1.426368701E0,2.457387745E-1,-1.807868123E0,-2.834654808E0,3.371059563E0
1.431384118E0,3.378780484E-1,-1.728850961E0,-2.932858467E0,3.421219959E0
