"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
8.093269880E-1,2.224858522E0,-2.741177008E-2,-2.405211143E-2,2.225157377E0
8.118349040E-1,2.261509180E0,-3.168770298E-2,-2.221956849E-2,2.261840311E0
8.143428210E-1,2.296327591E0,-3.779617324E-2,-2.221956849E-2,2.296746104E0
8.168507900E-1,2.331756592E0,-2.802261710E-2,-2.588465251E-2,2.332068628E0
8.193587060E-1,2.373294353E0,-2.680092305E-2,-2.527380548E-2,2.373580237E0
8.218666230E-1,2.414221048E0,-2.924431302E-2,-2.527380548E-2,2.414530444E0
8.243745400E-1,2.460034609E0,-3.107685409E-2,-2.832804248E-2,2.460393978E0
8.268824560E-1,2.507680655E0,-3.229855001E-2,-3.016058356E-2,2.508069999E0
8.293903730E-1,2.547996521E0,-2.680092305E-2,-2.527380548E-2,2.548262805E0
8.318982900E-1,2.591977596E0,-2.802261710E-2,-2.466295846E-2,2.592246398E0
8.344062060E-1,2.640234470E0,-3.474193811E-2,-2.649549954E-2,2.640595969E0
8.369141230E-1,2.691545725E0,-3.474193811E-2,-2.771719359E-2,2.691912635E0
8.394220400E-1,2.739802599E0,-3.657447919E-2,-2.771719359E-2,2.740186894E0
8.419299560E-1,2.788136005E0,-3.474193811E-2,-3.260397166E-2,2.788543062E0
8.444379250E-1,2.839447021E0,-4.023956135E-2,-3.260397166E-2,2.839919300E0
8.469458420E-1,2.893812418E0,-3.779617324E-2,-2.954973653E-2,2.894210091E0
8.494537590E-1,2.947566986E0,-3.779617324E-2,-3.199312463E-2,2.947982912E0
8.519616750E-1,2.997656584E0,-3.840702027E-2,-3.565821052E-2,2.998114675E0
8.544695920E-1,3.050189495E0,-3.413109109E-2,-3.321481869E-2,3.050561278E0
8.569775090E-1,3.105776548E0,-4.085041210E-2,-3.321481869E-2,3.106222778E0
8.594854250E-1,3.155255079E0,-3.901786730E-2,-3.321481869E-2,3.155671123E0
8.619933420E-1,3.205344677E0,-3.840702027E-2,-3.626905754E-2,3.205779943E0
8.645012590E-1,3.258488417E0,-4.634803534E-2,-3.199312463E-2,3.258975063E0
8.670091750E-1,3.307966948E0,-5.062396824E-2,-3.199312463E-2,3.308508980E0
