"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.412205790E-1,-6.504912376E0,8.391514421E-2,6.994201243E-2,6.505829591E0
6.437284960E-1,-6.496360779E0,9.124530852E-2,7.238540053E-2,6.497404768E0
6.462364130E-1,-6.482922077E0,7.841751724E-2,6.994201243E-2,6.483773581E0
6.487443290E-1,-6.468872547E0,8.147175610E-2,7.055285573E-2,6.469770273E0
6.512521940E-1,-6.456655502E0,8.880192041E-2,7.116370648E-2,6.457658270E0
6.537601100E-1,-6.444438457E0,8.208259940E-2,6.933116168E-2,6.445334079E0
6.562680270E-1,-6.431610584E0,8.880192041E-2,6.933116168E-2,6.432597244E0
6.587759440E-1,-6.416950226E0,8.696937561E-2,6.810946763E-2,6.417900963E0
6.612838600E-1,-6.400457382E0,8.208259940E-2,7.116370648E-2,6.401379268E0
6.637917250E-1,-6.387629986E0,9.063446522E-2,7.238540053E-2,6.388683048E0
6.662996420E-1,-6.372358799E0,8.147175610E-2,6.933116168E-2,6.373256712E0
6.688075580E-1,-6.358920097E0,8.330429345E-2,7.116370648E-2,6.359863889E0
6.713154750E-1,-6.347924709E0,8.025006205E-2,6.566607952E-2,6.348771552E0
6.738233400E-1,-6.338761806E0,8.330429345E-2,6.933116168E-2,6.339688293E0
6.763312560E-1,-6.332653522E0,8.147175610E-2,7.055285573E-2,6.333570556E0
6.788391730E-1,-6.327766895E0,8.269345015E-2,7.238540053E-2,6.328721177E0
6.813470900E-1,-6.322879791E0,8.758022636E-2,7.421794534E-2,6.323921841E0
6.838549540E-1,-6.314328194E0,8.635853231E-2,7.482878864E-2,6.315362039E0
6.863628710E-1,-6.305165291E0,8.025006205E-2,6.994201243E-2,6.306063852E0
6.888707880E-1,-6.300278664E0,8.086090535E-2,6.872031838E-2,6.301172288E0
6.913787040E-1,-6.292337418E0,8.269345015E-2,6.872031838E-2,6.293255983E0
6.938866210E-1,-6.286839962E0,8.147175610E-2,6.749862432E-2,6.287730148E0
6.963944850E-1,-6.276455402E0,8.269345015E-2,6.688777357E-2,6.277356498E0
6.989024020E-1,-6.266682148E0,7.963921130E-2,6.933116168E-2,6.267571648E0
7.014103190E-1,-6.261795044E0,8.330429345E-2,7.116370648E-2,6.262753472E0
7.039182350E-1,-6.253854275E0,8.330429345E-2,7.055285573E-2,6.254806999E0
7.064261000E-1,-6.244691372E0,8.025006205E-2,7.055285573E-2,6.245605504E0
7.089340170E-1,-6.229420185E0,9.246700257E-2,7.299624383E-2,6.230534041E0
7.114419330E-1,-6.213538170E0,8.208259940E-2,6.810946763E-2,6.214453559E0
7.139498500E-1,-6.198877811E0,7.841751724E-2,6.872031838E-2,6.199754665E0
7.164577670E-1,-6.189104557E0,8.025006205E-2,7.177454978E-2,6.190040943E0
7.189656310E-1,-6.174444199E0,8.758022636E-2,7.116370648E-2,6.175475345E0
7.214735480E-1,-6.156729698E0,8.391514421E-2,6.688777357E-2,6.157664842E0
7.239814650E-1,-6.137793064E0,8.208259940E-2,6.627693027E-2,6.138699690E0
